,Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PlayerID,Name
0,1,Álex Abrines\abrinal01,Projected,0.0019444444444444446,0.004722222222222222,0.0012962962962962963,0.0032870370370370367,0.0006944444444444445,0.000787037037037037,0.0003703703703703704,0.001712962962962963,0.0006018518518518519,0.0005555555555555556,0.0001388888888888889,0.000462962962962963,0.0017592592592592592,0.005787037037037037,0.407,0.385,0.852,abrinal01,Álex Abrines
2,2,Quincy Acy\acyqu01,Projected,0.0018055555555555555,0.004675925925925925,0.0011111111111111111,0.0031018518518518517,0.000787037037037037,0.0009722222222222223,0.0005555555555555556,0.0031944444444444446,0.0007407407407407408,0.0004166666666666667,0.0003703703703703704,0.0007407407407407408,0.0018055555555555555,0.00550925925925926,0.389,0.358,0.786,acyqu01,Quincy Acy
4,3,Steven Adams\adamsst01,Projected,0.002824074074074074,0.004675925925925925,4.62962962962963e-05,9.25925925925926e-05,0.0010648148148148147,0.001851851851851852,0.0022685185185185187,0.0044907407407407405,0.0006481481481481481,0.0006018518518518519,0.0005555555555555556,0.0008796296296296296,0.0014351851851851852,0.006805555555555555,0.609,0.327,0.588,adamsst01,Steven Adams
6,4,Bam Adebayo\adebaba01,Projected,0.0022685185185185187,0.004351851851851852,9.25925925925926e-05,0.0002777777777777778,0.001574074074074074,0.0021296296296296293,0.001388888888888889,0.004583333333333333,0.0012962962962962963,0.0004166666666666667,0.0005092592592592593,0.000787037037037037,0.0016203703703703703,0.0061574074074074074,0.518,0.282,0.735,adebaba01,Bam Adebayo
8,5,LaMarcus Aldridge\aldrila01,Projected,0.004120370370370371,0.008333333333333333,0.0001851851851851852,0.0005555555555555556,0.0019444444444444446,0.002361111111111111,0.0014351851851851852,0.004027777777777778,0.0010185185185185186,0.00032407407407407406,0.0006018518518518519,0.0007407407407407408,0.0011111111111111111,0.01037037037037037,0.495,0.317,0.829,aldrila01,LaMarcus Aldridge
10,6,Jarrett Allen\allenja01,Projected,0.002777777777777778,0.004768518518518519,0.0001388888888888889,0.0003703703703703704,0.0013425925925925925,0.001712962962962963,0.0016203703703703703,0.0044907407407407405,0.0006944444444444445,0.0003703703703703704,0.0009722222222222223,0.000925925925925926,0.0016203703703703703,0.007083333333333334,0.588,0.366,0.785,allenja01,Jarrett Allen
12,7,Kadeem Allen\allenka01,Projected,0.0020370370370370373,0.004953703703703703,0.000462962962962963,0.001898148148148148,0.0011574074074074073,0.0014814814814814816,0.0006481481481481481,0.0025,0.001712962962962963,0.0005092592592592593,0.00032407407407407406,0.0011574074074074073,0.001712962962962963,0.005694444444444445,0.413,0.236,0.774,allenka01,Kadeem Allen
14,8,Al-Farouq Aminu\aminual01,Projected,0.001898148148148148,0.004722222222222222,0.0008796296296296296,0.0024537037037037036,0.0006481481481481481,0.0008796296296296296,0.0007407407407407408,0.004074074074074075,0.0008333333333333334,0.0006018518518518519,0.0003703703703703704,0.0007407407407407408,0.0010648148148148147,0.005324074074074074,0.401,0.36,0.727,aminual01,Al-Farouq Aminu
16,9,Justin Anderson\anderju01,Projected,0.002638888888888889,0.0060185185185185185,0.0008796296296296296,0.0027314814814814814,0.0011574074074074073,0.0015277777777777776,0.0008333333333333334,0.0031944444444444446,0.000925925925925926,0.0005092592592592593,0.00032407407407407406,0.0007407407407407408,0.0015277777777777776,0.007314814814814815,0.435,0.321,0.777,anderju01,Justin Anderson
18,10,Kyle Anderson\anderky01,Projected,0.0019444444444444446,0.003796296296296296,0.0002314814814814815,0.0006018518518518519,0.0008796296296296296,0.0012037037037037038,0.0006481481481481481,0.0033796296296296296,0.0016666666666666668,0.000925925925925926,0.000462962962962963,0.000787037037037037,0.0010185185185185186,0.004953703703703703,0.51,0.353,0.734,anderky01,Kyle Anderson
